"Uninsured"
"Under 65 years | All Races | Both Sexes | All Incomes"
"","","","Uninsured","","","","Demographic Group",""
"Year","ID","Name","Number","Margin of Error","%","% Margin of Error","Number","Margin of Error"
"2023","48489","Willacy County, TX","3,075","307","21.6","2.2","14,209","0"
"2023","48491","Williamson County, TX","69,165","4,934","11.4","0.8","605,712","0"
"2023","48493","Wilson County, TX","5,914","613","13.2","1.4","44,830","0"
"2023","48495","Winkler County, TX","1,226","130","19.2","2.0","6,386","0"
"2023","48497","Wise County, TX","11,665","1,019","17.9","1.6","65,289","0"
"2023","48499","Wood County, TX","6,860","645","20.6","1.9","33,327","0"
"2023","48501","Yoakum County, TX","1,622","161","25.0","2.5","6,497","0"
"2023","48503","Young County, TX","2,949","286","20.7","2.0","14,261","0"
"2023","48505","Zapata County, TX","3,007","287","26.1","2.5","11,528","0"
"2023","48507","Zavala County, TX","1,367","162","17.6","2.1","7,759","0"
